---- LOG BEGIN ----
159193.xml -- Nota registrada || E/S Consignação -- 29-09-2022, 16:54:46 
159194.xml -- Nota registrada || E/S Consignação -- 29-09-2022, 16:54:46 
159212.xml -- Nota registrada || E/S Consignação -- 29-09-2022, 16:54:46 
159214.xml -- Nota registrada || E/S Consignação -- 29-09-2022, 16:54:46 
159193.xml -- Nota registrada || E/S Consignação -- 30-09-2022, 10:02:32 
159194.xml -- Nota registrada || E/S Consignação -- 30-09-2022, 10:02:32 
159212.xml -- Nota registrada || E/S Consignação -- 30-09-2022, 10:02:32 
159214.xml -- Nota registrada || E/S Consignação -- 30-09-2022, 10:02:32 
159193.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159194.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159212.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159214.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159193.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159194.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159212.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159214.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159193.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159194.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159212.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159214.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159193.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159194.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159212.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159214.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159193.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159194.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159212.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159214.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:45:18 
159193.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:56:20 
159194.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:56:20 
159212.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:56:20 
159214.xml -- Nota registrada || E/S Consignação -- 22-11-2022, 11:56:20 
159193.xml -- Nota registrada || E/S Consignação -- 26-11-2022, 16:32:40 
159194.xml -- Nota registrada || E/S Consignação -- 26-11-2022, 16:32:40 
159212.xml -- Nota registrada || E/S Consignação -- 26-11-2022, 16:32:40 
159214.xml -- Nota registrada || E/S Consignação -- 26-11-2022, 16:32:40 
159193.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 08:59:41 
159194.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 08:59:41 
159212.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 08:59:41 
159214.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 08:59:41 
159193.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 09:00:48 
159194.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 09:00:48 
159212.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 09:00:48 
159214.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 09:00:48 
159193.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 09:16:32 
159194.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 09:16:32 
159212.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 09:16:32 
159214.xml -- Nota registrada || E/S Consignação -- 28-11-2022, 09:16:32 
159193.xml -- Nota registrada || E/S Consignação -- 29-11-2022, 17:03:56 
159194.xml -- Nota registrada || E/S Consignação -- 29-11-2022, 17:03:56 
159212.xml -- Nota registrada || E/S Consignação -- 29-11-2022, 17:03:56 
159214.xml -- Nota registrada || E/S Consignação -- 29-11-2022, 17:03:56 
159193.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:26:19 
159194.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:26:19 
159212.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:26:19 
159214.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:26:19 
159193.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159194.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159212.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159214.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159193.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159194.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159212.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159214.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159193.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159194.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159212.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159214.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159193.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159194.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159212.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159214.xml -- Nota registrada || E/S Consignação -- 30-11-2022, 19:35:00 
159193.xml -- Nota registrada || E/S Consignação -- 06-12-2022, 09:11:18 
159194.xml -- Nota registrada || E/S Consignação -- 06-12-2022, 09:11:18 
159212.xml -- Nota registrada || E/S Consignação -- 06-12-2022, 09:11:18 
159214.xml -- Nota registrada || E/S Consignação -- 06-12-2022, 09:11:18 
159193.xml -- Nota registrada || E/S Consignação -- 07-12-2022, 10:14:07 
159194.xml -- Nota registrada || E/S Consignação -- 07-12-2022, 10:14:07 
159212.xml -- Nota registrada || E/S Consignação -- 07-12-2022, 10:14:07 
159214.xml -- Nota registrada || E/S Consignação -- 07-12-2022, 10:14:07 
159193.xml -- Nota registrada || E/S Consignação -- 09-12-2022, 16:38:52 
159194.xml -- Nota registrada || E/S Consignação -- 09-12-2022, 16:38:52 
159212.xml -- Nota registrada || E/S Consignação -- 09-12-2022, 16:38:52 
159214.xml -- Nota registrada || E/S Consignação -- 09-12-2022, 16:38:52 
159193.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
159194.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
159212.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
159214.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
162397.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
162410.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
162411.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
162438.xml -- Nota registrada || Devolução -- 15-12-2022, 20:59:28 
162466.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
162467.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
162474.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
162494.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
162505.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
162510.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:28 
159193.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
159194.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
159212.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
159214.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
162397.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
162410.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
162411.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
162438.xml -- Nota registrada || Devolução -- 15-12-2022, 20:59:50 
162466.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
162467.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
162474.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
162494.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
162505.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
162510.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 20:59:50 
159193.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
159194.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
159212.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
159214.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162397.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162410.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162411.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162438.xml -- Nota registrada || Devolução -- 15-12-2022, 21:01:12 
162466.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162467.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162474.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162494.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162505.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162510.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:01:12 
162466.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:04:42 
162467.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:04:42 
162474.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:04:42 
162494.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:04:42 
162505.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:04:42 
162510.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:04:42 
162466.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:06:33 
162467.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:06:33 
162474.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:06:33 
162494.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:06:33 
162505.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:06:33 
162510.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:06:33 
162466.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:10:24 
162467.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:10:24 
162474.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:10:24 
162494.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:10:24 
162505.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:10:24 
162510.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:10:24 
162466.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:16:15 
162467.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:16:15 
162474.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:16:15 
162494.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:16:15 
162505.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:16:15 
162510.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:16:15 
162466.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:17:53 
162467.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:17:53 
162474.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:17:53 
162494.xml -- Nota registrada || E/S Consignação -- 15-12-2022, 21:17:53 
